,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
351,ENST00000369535,Oh16_SRR2096965,33,162,0.91,6.67,7.07,0.16,0.96,1.06,0.15
352,ENST00000369535,Oh16_SRR2096964,90,380,0.78,7.67,7.2,0.19,0.98,0.94,0.16
353,ENST00000369535,Oh16_SRR2096966,37,109,0.54,10.08,7.11,0.25,0.96,0.71,0.17
354,ENST00000369535,Oh16_SRR2096972,32,95,0.55,10.29,7.37,0.25,1.0,0.72,0.17
355,ENST00000369535,Oh16_SRR2096970,72,219,0.56,9.9,7.17,0.24,0.97,0.72,0.16
356,ENST00000369535,Oh16_SRR2096971,43,122,0.52,10.58,7.31,0.26,0.99,0.69,0.17
357,ENST00000369535,LoayzaPuch16_SRR2873688,23,38,0.3,14.91,7.0,0.37,0.95,0.47,0.17
358,ENST00000369535,LoayzaPuch16_SRR2873687,38,94,0.46,11.67,7.22,0.29,0.98,0.62,0.16
359,ENST00000369535,LoayzaPuch16_SRR2873686,243,250,0.19,20.09,7.34,0.49,1.0,0.37,0.18
360,ENST00000369535,Khajuria18_SRR4450327,35,60,0.32,14.16,6.7,0.35,0.91,0.47,0.15
361,ENST00000369535,Khajuria18_SRR4450332,37,72,0.36,13.74,7.27,0.34,0.99,0.53,0.17
362,ENST00000369535,Khajuria18_SRR4450329,64,123,0.35,13.98,7.37,0.34,1.0,0.53,0.18
363,ENST00000369535,Khajuria18_SRR4450328,66,138,0.39,11.77,6.24,0.29,0.85,0.53,0.14
364,ENST00000369535,Khajuria18_SRR4450331,64,97,0.28,15.94,7.15,0.39,0.97,0.45,0.17
365,ENST00000369535,Khajuria18_SRR4450330,34,90,0.49,11.2,7.37,0.27,1.0,0.66,0.17
