,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
3,ENST00000375911,Park16_SRR3306589,113,429,0.81,2.08,1.87,0.21,1.0,0.9,0.09
4,ENST00000375911,Park16_SRR3306588,51,286,1.2,1.52,1.87,0.15,1.0,1.23,0.03
5,ENST00000375911,Park16_SRR3306584,99,339,0.73,2.19,1.87,0.22,1.0,0.85,0.12
0,ENST00000377113,Park16_SRR3306587,21,20,0.22,9.24,2.77,0.24,0.34,0.3,0.08
1,ENST00000377113,Park16_SRR3306583,169,88,0.12,25.18,8.18,0.66,1.0,0.32,0.2
2,ENST00000377113,Park16_SRR3306589,69,70,0.24,8.13,3.23,0.21,0.4,0.4,0.16
3,ENST00000377113,Park16_SRR3306588,77,83,0.25,12.49,4.27,0.33,0.52,0.34,0.09
4,ENST00000377113,Park16_SRR3306584,54,58,0.25,7.36,2.91,0.19,0.36,0.4,0.15
0,ENST00000373644,Park17_SRR5413158,7,73,0.36,3.84,1.4,0.09,0.99,0.36,0.0
1,ENST00000373644,Park17_SRR5413155,16,164,0.35,3.94,1.4,0.1,0.99,0.36,0.01
2,ENST00000373644,Park17_SRR5413156,22,134,0.21,6.65,1.42,0.16,1.0,0.21,0.0
3,ENST00000373644,Park17_SRR5413157,7,59,0.29,4.79,1.42,0.12,1.0,0.3,0.01
0,ENST00000358752,Park16_SRR3306586,6,146,1.47,2.39,3.57,0.04,0.99,1.49,0.02
1,ENST00000358752,Park16_SRR3306589,7,213,1.83,1.86,3.46,0.03,0.96,1.86,0.03
2,ENST00000358752,Park16_SRR3306584,12,192,0.96,3.6,3.62,0.06,1.0,1.01,0.05
0,ENST00000529983,Park17_SRR5413155,10,36,0.63,4.09,2.96,0.24,1.0,0.72,0.09
1,ENST00000529983,Park16_SRR3306585,20,18,0.16,9.04,2.96,0.53,1.0,0.33,0.17
2,ENST00000529983,Park16_SRR3306586,14,120,1.51,1.92,2.96,0.11,1.0,1.54,0.03
3,ENST00000529983,Park16_SRR3306587,17,149,1.54,1.91,2.96,0.11,1.0,1.55,0.01
4,ENST00000529983,Park16_SRR3306583,15,40,0.47,6.44,2.96,0.38,1.0,0.46,-0.01
5,ENST00000529983,Park16_SRR3306589,17,199,2.06,1.44,2.96,0.08,1.0,2.06,0.0
6,ENST00000529983,Park16_SRR3306588,82,170,0.37,5.59,2.96,0.33,1.0,0.53,0.16
7,ENST00000529983,Park16_SRR3306584,15,150,1.76,1.63,2.92,0.09,0.99,1.79,0.03
0,ENST00000586572,Park17_SRR5413158,16,25,0.73,1.3,1.0,0.53,1.0,0.77,0.04
1,ENST00000586572,Park17_SRR5413155,22,32,0.68,1.49,1.0,0.61,1.0,0.67,-0.01
2,ENST00000586572,Park17_SRR5413156,38,49,0.6,1.89,1.0,0.78,1.0,0.53,-0.07
3,ENST00000586572,Park17_SRR5413157,9,14,0.72,1.47,1.0,0.6,1.0,0.68,-0.04
4,ENST00000586572,Park16_SRR3306585,158,174,0.51,2.16,1.0,0.88,1.0,0.46,-0.05
5,ENST00000586572,Park16_SRR3306586,91,107,0.55,2.0,1.0,0.82,1.0,0.5,-0.05
6,ENST00000586572,Park16_SRR3306587,163,177,0.51,2.12,1.0,0.87,1.0,0.47,-0.04
7,ENST00000586572,Park16_SRR3306583,679,730,0.5,2.27,1.0,0.93,1.0,0.44,-0.06
8,ENST00000586572,Park16_SRR3306589,223,296,0.62,1.6,1.0,0.66,1.0,0.62,0.0
9,ENST00000586572,Park16_SRR3306588,767,901,0.55,2.08,1.0,0.85,1.0,0.48,-0.07
10,ENST00000586572,Park16_SRR3306584,192,221,0.54,1.82,1.0,0.74,1.0,0.55,0.01
0,ENST00000379568,Park16_SRR3306587,6,4235,95.27,0.02,1.28,0.0,1.0,64.0,-31.27
1,ENST00000379568,Park16_SRR3306589,13,3651,37.91,0.04,1.28,0.0,1.0,32.0,-5.91
2,ENST00000379568,Park16_SRR3306584,15,3126,28.13,0.05,1.28,0.0,1.0,25.6,-2.53
0,ENST00000215794,Park17_SRR5413158,8,10,0.39,2.34,1.52,0.38,1.0,0.65,0.26
1,ENST00000215794,Park17_SRR5413155,9,12,0.41,2.31,1.3,0.38,0.86,0.56,0.15
2,ENST00000215794,Park17_SRR5413156,8,8,0.31,2.46,1.52,0.4,1.0,0.62,0.31
3,ENST00000215794,Park16_SRR3306584,6,18,0.93,1.54,1.52,0.25,1.0,0.99,0.06
0,ENST00000252245,Park16_SRR3306585,9,55,1.84,0.71,1.27,0.16,1.0,1.79,-0.05
1,ENST00000252245,Park16_SRR3306586,37,144,1.17,1.01,1.27,0.23,1.0,1.26,0.09
2,ENST00000252245,Park16_SRR3306587,19,83,1.31,0.91,1.27,0.21,1.0,1.4,0.09
0,ENST00000398955,Park17_SRR5413156,7,68,2.14,0.79,1.6,0.1,1.0,2.03,-0.11
1,ENST00000398955,Park17_SRR5413157,7,27,0.85,2.07,1.6,0.26,1.0,0.77,-0.08
0,ENST00000298743,Park17_SRR5413158,18,57,0.6,3.12,2.21,0.24,0.95,0.71,0.11
1,ENST00000298743,Park17_SRR5413155,8,53,1.25,1.65,2.06,0.13,0.88,1.25,0.0
2,ENST00000298743,Park17_SRR5413156,8,34,0.8,2.42,2.14,0.19,0.92,0.88,0.08
3,ENST00000298743,Park16_SRR3306586,43,149,0.65,3.03,2.3,0.23,0.99,0.76,0.11
4,ENST00000298743,Park16_SRR3306587,114,364,0.6,3.12,2.31,0.24,0.99,0.74,0.14
5,ENST00000298743,Park16_SRR3306583,57,1954,6.45,0.38,2.33,0.03,1.0,6.13,-0.32
